Repository,Result,Constraint,Line,Description
mybatis-flex__mybatis-flex,UNSAT,InterfacePolicy,,Interface Class263 contains non-abstract method Method3847
mybatis-flex__mybatis-flex,UNSAT,InterfacePolicy,,Interface Class263 contains non-abstract method Method3848
mybatis-flex__mybatis-flex,UNSAT,InterfacePolicy,,Interface Class263 contains non-abstract method Method3849
mybatis-flex__mybatis-flex,UNSAT,InterfacePolicy,,Interface Class263 contains non-abstract method Method3850
mybatis-flex__mybatis-flex,UNSAT,InterfacePolicy,,Interface Class263 contains non-abstract method Method3851
mybatis-flex__mybatis-flex,UNSAT,InterfacePolicy,,Interface Class263 contains non-abstract method Method3852
mybatis-flex__mybatis-flex,UNSAT,InterfacePolicy,,Interface Class263 contains non-abstract method Method3853
mybatis-flex__mybatis-flex,UNSAT,InterfacePolicy,,Interface Class263 contains non-abstract method Method3854
mybatis-flex__mybatis-flex,UNSAT,InterfacePolicy,,Interface Class263 contains non-abstract method Method3855
mybatis-flex__mybatis-flex,UNSAT,InterfacePolicy,,Interface Class263 contains non-abstract method Method3856
mybatis-flex__mybatis-flex,UNSAT,InterfacePolicy,,Interface Class263 contains non-abstract method Method3857
mybatis-flex__mybatis-flex,UNSAT,InterfacePolicy,,Interface Class263 contains non-abstract method Method3858
mybatis-flex__mybatis-flex,UNSAT,InterfacePolicy,,Interface Class263 contains non-abstract method Method3859
mybatis-flex__mybatis-flex,UNSAT,InterfacePolicy,,Interface Class263 contains non-abstract method Method3860
mybatis-flex__mybatis-flex,UNSAT,InterfacePolicy,,Interface Class263 contains non-abstract method Method3861
mybatis-flex__mybatis-flex,UNSAT,InterfacePolicy,,Interface Class263 contains non-abstract method Method3862
mybatis-flex__mybatis-flex,UNSAT,InterfacePolicy,,Interface Class263 contains non-abstract method Method3863
mybatis-flex__mybatis-flex,UNSAT,InterfacePolicy,,Interface Class263 contains non-abstract method Method3864
mybatis-flex__mybatis-flex,UNSAT,InterfacePolicy,,Interface Class263 contains non-abstract method Method3865
mybatis-flex__mybatis-flex,UNSAT,InterfacePolicy,,Interface Class263 contains non-abstract method Method3866
mybatis-flex__mybatis-flex,UNSAT,InterfacePolicy,,Interface Class263 contains non-abstract method Method3867
mybatis-flex__mybatis-flex,UNSAT,InterfacePolicy,,Interface Class263 contains non-abstract method Method3868
mybatis-flex__mybatis-flex,UNSAT,InterfacePolicy,,Interface Class267 contains non-abstract method Method3895
mybatis-flex__mybatis-flex,UNSAT,InterfacePolicy,,Interface Class274 contains non-abstract method Method4035
mybatis-flex__mybatis-flex,UNSAT,InterfacePolicy,,Interface Class283 contains non-abstract method Method4064
mybatis-flex__mybatis-flex,UNSAT,InterfacePolicy,,Interface Class283 contains non-abstract method Method4066
mybatis-flex__mybatis-flex,UNSAT,InterfacePolicy,,Interface Class283 contains non-abstract method Method4067
mybatis-flex__mybatis-flex,UNSAT,InterfacePolicy,,Interface Class283 contains non-abstract method Method4068
mybatis-flex__mybatis-flex,UNSAT,InterfacePolicy,,Interface Class283 contains non-abstract method Method4070
mybatis-flex__mybatis-flex,UNSAT,InterfacePolicy,,Interface Class283 contains non-abstract method Method4071
mybatis-flex__mybatis-flex,UNSAT,InterfacePolicy,,Interface Class283 contains non-abstract method Method4072
mybatis-flex__mybatis-flex,UNSAT,InterfacePolicy,,Interface Class283 contains non-abstract method Method4074
mybatis-flex__mybatis-flex,UNSAT,InterfacePolicy,,Interface Class283 contains non-abstract method Method4075
mybatis-flex__mybatis-flex,UNSAT,InterfacePolicy,,Interface Class283 contains non-abstract method Method4076
mybatis-flex__mybatis-flex,UNSAT,InterfacePolicy,,Interface Class283 contains non-abstract method Method4078
mybatis-flex__mybatis-flex,UNSAT,InterfacePolicy,,Interface Class283 contains non-abstract method Method4079
mybatis-flex__mybatis-flex,UNSAT,InterfacePolicy,,Interface Class283 contains non-abstract method Method4080
mybatis-flex__mybatis-flex,UNSAT,InterfacePolicy,,Interface Class283 contains non-abstract method Method4082
mybatis-flex__mybatis-flex,UNSAT,InterfacePolicy,,Interface Class283 contains non-abstract method Method4083
mybatis-flex__mybatis-flex,UNSAT,InterfacePolicy,,Interface Class283 contains non-abstract method Method4084
mybatis-flex__mybatis-flex,UNSAT,InterfacePolicy,,Interface Class283 contains non-abstract method Method4086
mybatis-flex__mybatis-flex,UNSAT,InterfacePolicy,,Interface Class283 contains non-abstract method Method4087
mybatis-flex__mybatis-flex,UNSAT,InterfacePolicy,,Interface Class286 contains non-abstract method Method4105
mybatis-flex__mybatis-flex,UNSAT,InterfacePolicy,,Interface Class286 contains non-abstract method Method4106
mybatis-flex__mybatis-flex,UNSAT,InterfacePolicy,,Interface Class286 contains non-abstract method Method4107
mybatis-flex__mybatis-flex,UNSAT,InterfacePolicy,,Interface Class286 contains non-abstract method Method4108
mybatis-flex__mybatis-flex,UNSAT,InterfacePolicy,,Interface Class286 contains non-abstract method Method4109
mybatis-flex__mybatis-flex,UNSAT,InterfacePolicy,,Interface Class286 contains non-abstract method Method4110
mybatis-flex__mybatis-flex,UNSAT,InterfacePolicy,,Interface Class286 contains non-abstract method Method4111
mybatis-flex__mybatis-flex,UNSAT,InterfacePolicy,,Interface Class286 contains non-abstract method Method4112
mybatis-flex__mybatis-flex,UNSAT,InterfacePolicy,,Interface Class286 contains non-abstract method Method4113
mybatis-flex__mybatis-flex,UNSAT,InterfacePolicy,,Interface Class286 contains non-abstract method Method4114
mybatis-flex__mybatis-flex,UNSAT,InterfacePolicy,,Interface Class39 has field Field181
mybatis-flex__mybatis-flex,UNSAT,InterfacePolicy,,Interface Class39 has field Field182
mybatis-flex__mybatis-flex,UNSAT,InterfacePolicy,,Interface Class39 has field Field183
mybatis-flex__mybatis-flex,UNSAT,InterfacePolicy,,Interface Class39 has field Field184
mybatis-flex__mybatis-flex,UNSAT,InterfacePolicy,,Interface Class39 has field Field185
mybatis-flex__mybatis-flex,UNSAT,InterfacePolicy,,Interface Class60 has field Field222
mybatis-flex__mybatis-flex,UNSAT,InterfacePolicy,,Interface Class109 has field Field639
mybatis-flex__mybatis-flex,UNSAT,InterfacePolicy,,Interface Class109 has field Field640
mybatis-flex__mybatis-flex,UNSAT,InterfacePolicy,,Interface Class109 has field Field641
mybatis-flex__mybatis-flex,UNSAT,InterfacePolicy,,Interface Class109 has field Field642
mybatis-flex__mybatis-flex,UNSAT,InterfacePolicy,,Interface Class109 has field Field643
mybatis-flex__mybatis-flex,UNSAT,InterfacePolicy,,Interface Class109 has field Field644
mybatis-flex__mybatis-flex,UNSAT,InterfacePolicy,,Interface Class109 has field Field645
mybatis-flex__mybatis-flex,UNSAT,InterfacePolicy,,Interface Class109 has field Field646
mybatis-flex__mybatis-flex,UNSAT,InterfacePolicy,,Interface Class109 has field Field647
mybatis-flex__mybatis-flex,UNSAT,InterfacePolicy,,Interface Class109 has field Field648
mybatis-flex__mybatis-flex,UNSAT,InterfacePolicy,,Interface Class260 has field Field994
mybatis-flex__mybatis-flex,UNSAT,InterfacePolicy,,Interface Class263 has field Field998
mybatis-flex__mybatis-flex,UNSAT,LocalMethodNamespace,,"Duplicate method name 'generate' in class Class20: Method95, Method96"
mybatis__spring-boot-starter,SAT,,,All metamodel constraints hold
nayuki__Project-Euler-solutions,UNSAT,LocalMethodNamespace,,"Duplicate method name 'isPalindrome' in class Class3: Method217, Method218"
nayuki__QR-Code-generator,UNSAT,LocalMethodNamespace,,"Duplicate method name 'encodeSegments' in class Class2: Method14, Method15"
Netflix__maestro,UNSAT,InterfacePolicy,,Interface Class4 contains non-abstract method Method19
Netflix__maestro,UNSAT,InterfacePolicy,,Interface Class4 contains non-abstract method Method20
Netflix__maestro,UNSAT,InterfacePolicy,,Interface Class4 contains non-abstract method Method21
Netflix__maestro,UNSAT,InterfacePolicy,,Interface Class4 contains non-abstract method Method22
Netflix__maestro,UNSAT,InterfacePolicy,,Interface Class4 contains non-abstract method Method23
Netflix__maestro,UNSAT,InterfacePolicy,,Interface Class4 contains non-abstract method Method24
Netflix__maestro,UNSAT,InterfacePolicy,,Interface Class4 contains non-abstract method Method25
Netflix__maestro,UNSAT,InterfacePolicy,,Interface Class4 contains non-abstract method Method26
Netflix__maestro,UNSAT,InterfacePolicy,,Interface Class4 contains non-abstract method Method27
Netflix__maestro,UNSAT,InterfacePolicy,,Interface Class4 contains non-abstract method Method28
Netflix__maestro,UNSAT,InterfacePolicy,,Interface Class4 contains non-abstract method Method29
Netflix__maestro,UNSAT,InterfacePolicy,,Interface Class4 contains non-abstract method Method30
Netflix__maestro,UNSAT,InterfacePolicy,,Interface Class4 contains non-abstract method Method31
Netflix__maestro,UNSAT,InterfacePolicy,,Interface Class4 contains non-abstract method Method32
Netflix__maestro,UNSAT,InterfacePolicy,,Interface Class4 contains non-abstract method Method33
Netflix__maestro,UNSAT,InterfacePolicy,,Interface Class4 contains non-abstract method Method34
Netflix__maestro,UNSAT,InterfacePolicy,,Interface Class4 contains non-abstract method Method35
Netflix__maestro,UNSAT,InterfacePolicy,,Interface Class4 contains non-abstract method Method36
Netflix__maestro,UNSAT,InterfacePolicy,,Interface Class4 contains non-abstract method Method37
Netflix__maestro,UNSAT,InterfacePolicy,,Interface Class4 contains non-abstract method Method38
Netflix__maestro,UNSAT,InterfacePolicy,,Interface Class4 contains non-abstract method Method39
Netflix__maestro,UNSAT,InterfacePolicy,,Interface Class4 contains non-abstract method Method40
Netflix__maestro,UNSAT,InterfacePolicy,,Interface Class4 contains non-abstract method Method41
Netflix__maestro,UNSAT,InterfacePolicy,,Interface Class4 contains non-abstract method Method42
Netflix__maestro,UNSAT,InterfacePolicy,,Interface Class4 contains non-abstract method Method43
Netflix__maestro,UNSAT,InterfacePolicy,,Interface Class4 contains non-abstract method Method44
Netflix__maestro,UNSAT,InterfacePolicy,,Interface Class23 contains non-abstract method Method107
Netflix__maestro,UNSAT,InterfacePolicy,,Interface Class23 contains non-abstract method Method108
Netflix__maestro,UNSAT,InterfacePolicy,,Interface Class23 contains non-abstract method Method109
Netflix__maestro,UNSAT,InterfacePolicy,,Interface Class23 contains non-abstract method Method110
Netflix__maestro,UNSAT,InterfacePolicy,,Interface Class23 contains non-abstract method Method111
Netflix__maestro,UNSAT,InterfacePolicy,,Interface Class63 contains non-abstract method Method540
Netflix__maestro,UNSAT,InterfacePolicy,,Interface Class122 contains non-abstract method Method746
Netflix__maestro,UNSAT,InterfacePolicy,,Interface Class122 contains non-abstract method Method747
Netflix__maestro,UNSAT,InterfacePolicy,,Interface Class122 contains non-abstract method Method748
Netflix__maestro,UNSAT,InterfacePolicy,,Interface Class122 contains non-abstract method Method749
Netflix__maestro,UNSAT,InterfacePolicy,,Interface Class122 contains non-abstract method Method750
Netflix__maestro,UNSAT,InterfacePolicy,,Interface Class187 contains non-abstract method Method989
Netflix__maestro,UNSAT,InterfacePolicy,,Interface Class203 contains non-abstract method Method1139
Netflix__maestro,UNSAT,InterfacePolicy,,Interface Class203 contains non-abstract method Method1141
Netflix__maestro,UNSAT,InterfacePolicy,,Interface Class204 contains non-abstract method Method1143
Netflix__maestro,UNSAT,InterfacePolicy,,Interface Class204 contains non-abstract method Method1145
Netflix__maestro,UNSAT,InterfacePolicy,,Interface Class236 contains non-abstract method Method1171
Netflix__maestro,UNSAT,InterfacePolicy,,Interface Class236 contains non-abstract method Method1172
Netflix__maestro,UNSAT,InterfacePolicy,,Interface Class236 contains non-abstract method Method1173
Netflix__maestro,UNSAT,InterfacePolicy,,Interface Class236 contains non-abstract method Method1174
Netflix__maestro,UNSAT,InterfacePolicy,,Interface Class236 contains non-abstract method Method1175
Netflix__maestro,UNSAT,InterfacePolicy,,Interface Class236 contains non-abstract method Method1176
Netflix__maestro,UNSAT,InterfacePolicy,,Interface Class236 contains non-abstract method Method1177
Netflix__maestro,UNSAT,InterfacePolicy,,Interface Class236 contains non-abstract method Method1178
Netflix__maestro,UNSAT,InterfacePolicy,,Interface Class236 contains non-abstract method Method1179
Netflix__maestro,UNSAT,InterfacePolicy,,Interface Class236 contains non-abstract method Method1180
Netflix__maestro,UNSAT,InterfacePolicy,,Interface Class261 contains non-abstract method Method1253
Netflix__maestro,UNSAT,InterfacePolicy,,Interface Class290 contains non-abstract method Method1296
Netflix__maestro,UNSAT,InterfacePolicy,,Interface Class290 contains non-abstract method Method1299
Netflix__maestro,UNSAT,InterfacePolicy,,Interface Class334 contains non-abstract method Method1451
Netflix__maestro,UNSAT,InterfacePolicy,,Interface Class334 contains non-abstract method Method1452
Netflix__maestro,UNSAT,InterfacePolicy,,Interface Class334 contains non-abstract method Method1453
Netflix__maestro,UNSAT,InterfacePolicy,,Interface Class334 contains non-abstract method Method1454
Netflix__maestro,UNSAT,InterfacePolicy,,Interface Class334 contains non-abstract method Method1455
Netflix__maestro,UNSAT,InterfacePolicy,,Interface Class334 contains non-abstract method Method1456
Netflix__maestro,UNSAT,InterfacePolicy,,Interface Class334 contains non-abstract method Method1457
Netflix__maestro,UNSAT,InterfacePolicy,,Interface Class334 contains non-abstract method Method1458
Netflix__maestro,UNSAT,InterfacePolicy,,Interface Class334 contains non-abstract method Method1459
Netflix__maestro,UNSAT,InterfacePolicy,,Interface Class334 contains non-abstract method Method1460
Netflix__maestro,UNSAT,InterfacePolicy,,Interface Class334 contains non-abstract method Method1461
Netflix__maestro,UNSAT,InterfacePolicy,,Interface Class334 contains non-abstract method Method1462
Netflix__maestro,UNSAT,InterfacePolicy,,Interface Class334 contains non-abstract method Method1463
Netflix__maestro,UNSAT,InterfacePolicy,,Interface Class334 contains non-abstract method Method1464
Netflix__maestro,UNSAT,InterfacePolicy,,Interface Class334 contains non-abstract method Method1465
Netflix__maestro,UNSAT,InterfacePolicy,,Interface Class334 contains non-abstract method Method1466
Netflix__maestro,UNSAT,InterfacePolicy,,Interface Class334 contains non-abstract method Method1467
Netflix__maestro,UNSAT,InterfacePolicy,,Interface Class334 contains non-abstract method Method1468
Netflix__maestro,UNSAT,InterfacePolicy,,Interface Class334 contains non-abstract method Method1469
Netflix__maestro,UNSAT,InterfacePolicy,,Interface Class334 contains non-abstract method Method1479
Netflix__maestro,UNSAT,InterfacePolicy,,Interface Class334 contains non-abstract method Method1480
Netflix__maestro,UNSAT,InterfacePolicy,,Interface Class339 contains non-abstract method Method1488
Netflix__maestro,UNSAT,InterfacePolicy,,Interface Class339 contains non-abstract method Method1489
Netflix__maestro,UNSAT,InterfacePolicy,,Interface Class339 contains non-abstract method Method1490
Netflix__maestro,UNSAT,InterfacePolicy,,Interface Class339 contains non-abstract method Method1491
Netflix__maestro,UNSAT,InterfacePolicy,,Interface Class339 contains non-abstract method Method1492
Netflix__maestro,UNSAT,InterfacePolicy,,Interface Class339 contains non-abstract method Method1493
Netflix__maestro,UNSAT,InterfacePolicy,,Interface Class339 contains non-abstract method Method1494
Netflix__maestro,UNSAT,InterfacePolicy,,Interface Class339 contains non-abstract method Method1495
Netflix__maestro,UNSAT,InterfacePolicy,,Interface Class339 contains non-abstract method Method1496
Netflix__maestro,UNSAT,InterfacePolicy,,Interface Class339 contains non-abstract method Method1497
Netflix__maestro,UNSAT,InterfacePolicy,,Interface Class339 contains non-abstract method Method1498
Netflix__maestro,UNSAT,InterfacePolicy,,Interface Class339 contains non-abstract method Method1499
Netflix__maestro,UNSAT,InterfacePolicy,,Interface Class339 contains non-abstract method Method1500
Netflix__maestro,UNSAT,InterfacePolicy,,Interface Class339 contains non-abstract method Method1501
Netflix__maestro,UNSAT,InterfacePolicy,,Interface Class339 contains non-abstract method Method1502
Netflix__maestro,UNSAT,InterfacePolicy,,Interface Class339 contains non-abstract method Method1503
Netflix__maestro,UNSAT,InterfacePolicy,,Interface Class339 contains non-abstract method Method1504
Netflix__maestro,UNSAT,InterfacePolicy,,Interface Class339 contains non-abstract method Method1505
Netflix__maestro,UNSAT,InterfacePolicy,,Interface Class339 contains non-abstract method Method1506
